FID,IZ11CD,IZ11NM
718,S02001769,Hill of Beath and Kingseat
719,S02001820,Largo
720,S02001770,Cowdenbeath South
721,S02001821,Kennoway and Bonnybank
722,S02001771,Cowdenbeath North
723,S02001822,Kettle and Ladybank
724,S02001772,Kelty West
725,S02001823,Falkland and Freuchie
726,S02001773,Kelty East
727,S02001824,Auchtermuchty and Gateside
728,S02001774,Lochore and Crosshill
729,S02001825,Newburgh
730,S02001775,Ballingry
731,S02001826,Cupar West and Springfield
732,S02001776,Cardenden
733,S02001827,Cupar Central
734,S02001777,Lochgelly East
735,S02001828,Cupar East
736,S02001778,Lochgelly West and Lumphinnans
737,S02001829,Dairsie Ceres and Dunino
738,S02001779,Aberdour and Auchtertool
739,S02001830,Elie Colinsburgh and Largoward
740,S02001780,Burntisland West
741,S02001831,St Monans and Pittenweem
742,S02001781,Burntisland East
743,S02001832,Anstruther
744,S02001782,Kinghorn
745,S02001833,Crail and Boarhills
746,S02001783,Kirkcaldy Linktown & Seafield
747,S02001834,St Andrews South East
748,S02001784,Kirkcaldy Central
749,S02001835,St Andrews Central
750,S02001785,Kirkcaldy Bennochy East
751,S02001986,Nairn East
752,S02001987,Nairn West
753,S02001988,Inverness East Rural
754,S02001989,Inverness Culloden and Balloch
755,S02001990,Inverness Smithton
756,S02001991,Inverness Westhill
757,S02001992,Inverness Inshes
758,S02001993,Inverness Slackbuie
759,S02001994,Inverness Lochardil and Holm Mains
760,S02001995,Inverness Drummond
761,S02001996,Inverness Hilton
762,S02001997,Inverness Drakies
763,S02001998,"Inverness Central, Raigmore and Longman"
764,S02001999,Inverness Crown and Haugh
765,S02002000,Inverness Ballifeary and Dalneigh
766,S02002001,Inverness Muirtown
767,S02002002,Inverness Merkinch
768,S02002003,Inverness Scorguie
769,S02002004,Inverness Kinmylies and South West
770,S02002005,Inverness West Rural
771,S02002006,Loch Ness
772,S02002007,Lochalsh
773,S02002008,Skye South
774,S02002009,Skye North East
775,S02002010,Skye North West
776,S02002011,Ross and Cromarty South West
777,S02002012,Ross and Cromarty North West
778,S02002013,Ross and Cromarty Central
779,S02002014,Ross and Cromarty East
780,S02002015,Muir of Ord
781,S02002016,Conon
782,S02002017,Dingwall
783,S02002018,Black Isle South
784,S02002019,Black Isle North
785,S02002020,Alness
786,S02002021,Invergordon
787,S02002022,Seaboard
788,S02002023,Tain
789,S02002024,Sutherland South
790,S02002025,Sutherland East
791,S02002026,Caithness South
792,S02002027,Wick South
793,S02002028,Wick North
794,S02002029,Caithness North East
795,S02002030,Caithness North West
796,S02002031,Thurso East
797,S02002032,Thurso West
798,S02002033,Sutherland North and West
799,S02002034,Kilmacolm Central
800,S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central"
801,S02002336,Castlehill and Kincaidston
802,S02002337,Belmont
803,S02002338,Holmston and Forehill
804,S02002339,Ayr South Harbour and Town Centre
805,S02002340,"Ayr North Harbour, Wallacetown and Newton South"
806,S02002341,Craigie
807,S02002342,Dalmilling
808,S02002343,"Lochside, Braehead and Whitletts"
809,S02002344,Newton North
810,S02002345,Heathfield
811,S02002346,Prestwick West
812,S02002347,Prestwick East
813,S02002348,Prestwick Airport and Monkton
814,S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields"
815,S02002350,"Dundonald, Loans and Symington"
816,S02002351,Muirhead
817,S02002352,Barassie
818,S02002353,Troon
819,S02002354,Clydesdale South
820,S02002355,"Biggar, Symington, Thankerton and Dolphinton"
